Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
United States,568.187,7.636,139435.055,799.23,6303.321,0.005731838,41602.799,0.087656,0.075
Austria,7581.937,2.256,496125.215,519.311,4567.301,0.001046731,59741.702,0.104613462,0.052
Belgium,616.805,2.784,223246.728,428.041,4493.674,0.001917317,55788.9,0.05652449,0.083
Bulgaria,393.705,2.182,81471.203,1088.051,1257.164,0.013355102,12534.589,0.101189796,0.04751
Czechia,721.989,1.497,202449.029,590.437,4276.254,0.002916455,43925.424,0.029014583,0.054
Denmark,1972.357,1.058,449441.689,767.157,1200.2,0.001706945,38333.915,0.056530769,0.072
Finland,427.086,4.424,214237.434,1095.942,1425.451,0.005115513,43015.15,0.124802041,0.108
France,1271.17,2.249,439273.443,567.683,8321.294,0.001292308,109211.162,0.057139216,0.058
Germany,458.952,2.67,362861.758,603.255,6514.879,0.001662497,0,0.094984615,0.043
Greece,3657.388,4.759,426272.702,1368.548,0,0.003210519,0,0.114469388,0.109
Hungary,232.33,1.629,94045.903,971.003,0,0.010324625,33786.669,0.048277551,0.064
Ireland,485.012,3.502,188893.06,476.518,2462.615,0.002522653,41595.558,0.085945455,0.059
Italy,1471.205,4.35,326014.813,799.435,2986.087,0.002452133,58208.64,0.098293182,0.087
Lithuania,665.957,1.554,279327.31,772.155,0,0.002764279,27985.224,0.169732653,0.03
Luxembourg,757.753,2.938,325779.963,414.064,2036.688,0.001270963,16034.556,-0.039744898,0.076
Netherlands,498.702,0.893,311335.147,124.442,1632.54,0.000399732,15092.283,0.080525,0.011
Norway,359.044,1.049,200880.157,559.196,0,0.0027836,4819.737,0.120307692,0.026
Poland,240.33,3.142,57602.164,581.946,0,0.010102725,31425.763,0.049828846,0.047
Portugal,1633.683,3.866,412464.361,662.787,1139.145,0.001606871,15992.726,0.092315385,0.055
Romania,227.705,10.585,76453.802,444.262,756.894,0.005810946,53262.665,0.038864583,0.027089
Slovakia,901.822,0.951,230351.619,765.476,5914.992,0.003323019,61795.825,0.102003846,0.042
Slovenia,1537.748,0.771,398296.34,681.45,7105.702,0.001710903,38306.131,0.037682353,0.128
Spain,438.583,3.619,160805.912,583.454,4305.468,0.003628335,47044.307,0.102373077,0.056
Sweden,323.559,1.679,130509.866,609.242,1114.952,0.00466831,32825.429,0.044642,0.082
Switzerland,814.627,1.524,356463.945,224.735,3446.835,0.000630503,45390.805,0.082982692,0.026
United Kingdom,1694.378,3.093,159710.848,562.473,839.903,0.003521825,61827.535,0.080526923,0.064
