Country,C1,C2,C3,C4,C5,C6,C7,C8,C9
United States,1386.823,72.032,100173.565,1417.123,15168.834,0.014146627,58556.537,0.176778846,0.132
Austria,13233.999,74.842,102107.097,1063.525,11868.066,0.010415694,52604.155,0.092107692,0.101
Belgium,1743.986,76.689,122275.949,767.982,12948.271,0.006280752,50511.132,0.032890385,0.074
Bulgaria,904.108,28.805,79641.503,3453.262,3342.987,0.043360061,36456.891,0.393325,0.2217895
Czechia,4084.551,64.951,168354.468,2355.455,20646.675,0.013991061,112346.96,0.216567308,0.171
Denmark,7309.683,80.118,99582.44,332.065,2590.29,0.003334553,15783.191,0.031455769,0.03
Finland,1119.22,77.435,38910.206,196.983,1580.66,0.005062559,8934.355,0.047003846,0.019
France,2328.867,78.371,105980.03,881.3,14475.361,0.008315753,88607.162,0.051940385,0.099
Germany,688.914,75.06,64403.474,961.138,12105.297,0.014923634,0,0.069396154,0.064
Greece,4082.539,71.596,94869.242,1530.678,0,0.016134555,0,0.149173077,0.112
Hungary,667.733,61.548,93218.344,2971.14,0,0.031872936,132247.102,0.194288462,0.181
Ireland,1521.554,78.248,129896.722,734.343,5650.88,0.005653105,32018.621,0.077525,0.11
Italy,1872.367,81.786,63486.015,1090.165,8341.53,0.01717169,74866.848,0.105251923,0.084
Lithuania,1886.254,69.394,138977.391,2066.396,0,0.014868591,90120.64,0.306496154,0.117
Luxembourg,3405.397,71.348,84928.832,668.859,8089.836,0.007875601,32011.997,-0.017338462,0.088
Netherlands,906.985,71.717,132538.449,553.548,8965.263,0.004176471,22918.158,0.097001923,0.052
Norway,1206.456,78.94,61660.452,156.153,0,0.002532484,8142.857,0.036175,0.022
Poland,528.472,54.167,70356.04,1701.611,0,0.024185636,101791.889,0.22325,0.132
Portugal,1971.867,91.636,89408.592,1189.633,7614.164,0.013305593,44826.74,0.082465385,0.095
Romania,630.598,30.503,60248.608,2201.216,2316.769,0.036535533,112978.357,0.2858,0.14482
Slovakia,7948.748,44.756,196132.048,2585.799,17871.67,0.013183992,106567.694,0.344703846,0.185
Slovenia,661.804,58.576,161472.337,1398.485,19829.306,0.00866087,88757.991,0.101913462,0.135
Spain,1048.113,83.424,88125.292,820.071,12992.13,0.009305701,50710.176,0.063361538,0.082
Sweden,1043.652,72.624,83420.805,652.269,5318.717,0.007818825,31702.904,0.025857692,0.06
Switzerland,1261.003,68.158,95951.228,513.403,7751.984,0.00535073,35607.921,0.050553846,0.06
United Kingdom,5061.414,74.079,149460.973,1247.407,5875.549,0.008345998,49970.983,0.090292308,0.126
